method,data_type,dimension,sample_size,noise_level,trial,frame_error,runtime,success,initialization,gradient_norm,iterations,step_size,stopping_criterion
pca_varimax,gaussian_rotated,25,1000,0.05,2,1.187653975499776,0.0038819313049316406,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,3,1.0961559882904774,0.0036423206329345703,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,4,1.1318244022809025,0.003972053527832031,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,5,1.1169501966195547,0.003692150115966797,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,6,1.112740122310194,0.0037078857421875,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,7,1.0846045316234467,0.003450155258178711,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,8,1.1115459799461893,0.004676103591918945,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,25,1000,0.05,9,1.1206922766176113,0.0037178993225097656,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,0,1.3185570006003176,0.013007879257202148,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,1,1.2790689077636235,0.012520074844360352,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,2,1.3114523083793637,0.014164924621582031,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,3,1.3064708586447653,0.012555837631225586,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,4,1.3108019160963182,0.015171051025390625,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,5,1.3388369862687641,0.012947797775268555,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,6,1.3066374623730779,0.012778997421264648,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,7,1.3153854264823812,0.014466047286987305,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,8,1.3179544101965683,0.012171030044555664,True,N/A,,,,R stats::varimax
pca_varimax,gaussian_rotated,50,1000,0.05,9,1.3202356161693496,0.012223005294799805,True,N/A,,,,R stats::varimax
wfa1_manifold_optimization,gaussian_rotated,2,1000,0.05,0,5.002499607511566e-06,3.281010866165161,True,N/A,1.0457212246569611e-09,14,-0.0,"Terminated - min step_size reached after 14 iterations, 3.27 seconds."
wfa1_manifold_optimization,gaussian_rotated,2,1000,0.05,1,0.00013218319482448038,3.8777918815612793,True,N/A,4.121078191724217e-09,18,-0.0,"Terminated - min step_size reached after 18 iterations, 3.87 seconds."
wfa1_manifold_optimization,gaussian_rotated,2,1000,0.05,2,1.9718213826922976e-06,4.8036580085754395,True,N/A,2.728624458472333e-09,23,-0.0,"Terminated - min step_size reached after 23 iterations, 4.79 seconds."
wfa1_manifold_optimization,gaussian_rotated,2,1000,0.05,3,0.0005373455252112182,4.231837034225464,True,N/A,3.970731975537921e-09,20,-0.0,"Terminated - min step_size reached after 20 iterations, 4.22 seconds."
wfa1_manifold_optimization,gaussian_rotated,2,1000,0.05,4,3.9303870409753204e-05,4.62954306602478,True,N/A,2.118762142393111e-09,22,-0.0,"Terminated - min step_size reached after 22 iterations, 4.62 seconds."
wfa1_manifold_optimization,gaussian_rotated,2,1000,0.05,5,0.0005696113284649326,4.064474821090698,True,N/A,1.0265998943601843e-09,18,9.66897367237963e-15,"Terminated - min step_size reached after 18 iterations, 4.06 seconds."
